first	internal	last	penultimate	second
-6.197917652485458	2.3229635782326685	-5.90318762563432	-4.127087103762037	1.373531287751196
-2.270681299021608	1.522095935092664	-3.2779257422792374	1.451646327883945	-3.4123899877586465
-3.3514012921601197	2.946405234631101	-5.193386566389556	-6.765565585741784	-7.983683290057364
-8.444582751282661	1.7625784378477343	-6.877907364500258	-8.318432931019336	2.5546821634029993
-1.5700787924824298	1.3352374119799137	3.1517987572899884	-7.222508457155853	-0.6390110186562701
-3.8744906623229505	0.8004795809854255	-6.765642502394282	-2.526078044945396	-6.474457066357576
-8.633116446329156	1.9426608786787203	-8.795128502847788	-4.869910486430285	-2.5849855840264775
3.053603159480729	2.8500352763684353	-7.200928613407383	-2.6170915344247017	-3.7760644731971484
-1.1205482958658226	2.0728021058882358	-6.82787096257368	-3.971928804959988	-3.30132988888067
-4.276350926178013	-7.315704478982315	-2.987336937641529	-3.6762393463890284	-6.039281908806041
-3.704402034038902	-3.4809855529756097	0.16147496420827742	-2.429684746327417	-2.7090660832897555
-1.988544436581023	-3.999019300772156	-7.3198498033892605	-6.81774014362775	-1.6516497220367052
-4.509024123711422	-3.242785545046217	-7.047493469709863	-4.859092586977058	-3.930580489071087
-4.043795813535543	-2.272373994153689	-8.362610178620141	-8.055443045252845	-5.023729638341696
-6.620416297882296	-3.5885546630970557	-6.3596026653784525	-5.616588879121867	-0.7929017862496215
-0.7645547679926508	-6.647275096811135	-8.106021418303273	-7.110011805030564	-3.983851737498452
-1.4093165490924304	-6.307835653465343	-6.4163738612693875	-2.470089122038018	-8.288113684916812
-3.493168171038544	-6.466065934269284	-7.8703492828290535	0.4212744744309537	-3.6926712719526957
-2.524682643919658	-6.628315802602427	-1.2726667601461386	-5.7862015791316255	-6.745604489333852
-3.7408082760106156	2.290701591736172	-0.30931294125193415	-2.756603887160294	-3.8225541498851947
-0.8836432287272208	-6.512121850597101	-3.6063000113789774	-7.669497220807242	-0.9095367595598444
-3.557872444567924	-6.284987359422417	-8.752965958445449	-4.615184496721676	-6.0659706057991745
2.2289694923357164	-6.691270639766887	-8.812316157166832	-2.798506651624631	-4.274828095164548
-5.222861854488351	-6.401637843968964	-8.28617582619601	-6.843681468391057	-5.960869468977952
-3.6127257000913318	-6.1520338712675535	-6.22458698609066	-5.394774981714769	-5.851125751481398
-7.593291805673658	-6.289313757789255	-3.4323579865273435	-1.0922294364787883	-2.866878424837952
-2.49318279172112	-6.119361174543953	-6.836051217068614	-6.857206302799962	-2.625328833141866
-1.1908160760979989	-4.933608486792784	-4.88600085920639	-3.888462230258655	-1.9090652932444856
-2.383740179959547	-6.083698859101146	-4.097127147828216	-4.623318430369638	-2.9432611128407062
-4.532357413068875	-5.817419563352127	-2.602157617786915	-6.933616422988691	-1.5660193124685429
-2.800485319922297	-5.800418985557643	0.08279794845709502	-1.1746116261963062	-0.4695616371823046
-2.808134187800376	-4.6044264781083655	-7.8608773697579055	-2.4774861975604674	-4.7305971878562305
-3.614790312675202	-5.369994214131427	-4.288366248893316	-2.136886182374067	-4.373120949278554
-2.4157455553695435	-4.6904307636900295	-6.039206005951653	2.9856461497172493	-4.586444043368945
-2.4573477087389777	-5.6349104192147195	-7.351884932811022	1.89241434200848	-2.100335560505591
-2.1035560844632495	-4.136195995993703	-7.075014651221959	-2.4506679492419083	0.6060441883881837
-2.750892085728481	-4.493108065344607	1.5439066094774747	-5.178895231730636	0.7142850881874224
-3.48315539050729	-5.298590406621843	1.246730339291931	-4.447198790710847	-2.907954975739609
0.047049730045978594	-3.20368798932737	-6.509766708854301	-6.960448977100972	-4.943625122619288
-8.613562492296733	-4.735777302961282	-6.960130994125673	-4.158882852312307	-2.2512914690424597
-7.9639388158579765	-3.530649118017023	-3.3139145804865078	-2.489499817017453	-4.138226899242016
-1.1172896590422263	-3.7315014082221283	-6.907925090221006	-4.005448659323486	-1.39313710637417
-0.91975985775768	-3.0277337851280444	-4.480450849256089	-2.7779373752225123	-2.1310288321455833
-1.054251479876203	-4.175770799249422	-3.2507146052820977	-4.313099898827937	-6.864724247615023
-2.265261336515632	-4.193069869894877	-8.458177365569075	-7.340604989590315	-3.3228574897909855
-4.478294719609572	-4.588698720940373	-4.087995871255148	-7.5745334764063355	-6.995370498538052
-5.321610736886467	-3.6136172361261756	3.199796391648284	-2.310282183142685	-5.4582877265385195
-1.5678530052993223	-4.2484972019096325	-6.289178361270271	1.7504735907004711	-4.339657668389512
-5.3330565741660365	-3.8728517057819913	-7.32311967586546	-1.5252389813515614	2.3385442183937935
-1.8541269383989551	-3.9070738295143106	-7.952282719767543	-4.869551953845891	-2.1821835775315797
-4.739086952953145	-3.0365850647281065	-4.870163621910887	-5.149118025242359	-2.2087610381546274
-2.5415339985780387	-4.639667640101031	-6.35148669802672	-7.840043926444304	-0.8959264043797655
