conditionA	skater_optimize_v0_5_MS023rep1_database_sorted	skater_optimize_v0_5_MS023rep2_database_sorted
F0F1T0C0J0_0J1_0	F0T0C0J0_0	F0T0F1T1C0J0_0J0_1J1_1	F0T0T1C0J0_0J0_1
-2.4891757760833184	-3.583654857653881	-3.0973246866348103	-5.321277874511593
-6.469403109731973	-6.734838130403314	0.5264599894727627	-4.989376882955186
-3.024180254650745	-6.423167153781645	-1.0678843883614468	-2.4152337191476585
-4.846135530846232	-6.650048523002846	-4.465672201064955	-4.548114016449808
-4.010398241563769	-6.100454344424933	-5.7232122638949345	-9.106498489483593
-0.5265580259305396	-7.570236097182891	-1.7730870790320383	-3.3631425719108874
-1.8905511764381695	-3.0399925057448933	-2.265403524013392	-5.059981891418265
-2.2579592856285893	-3.799316874431374	-1.2364031605370847	-1.92369539983884
-1.533194156056156	-3.397923251576171	-1.1968556418676763	-2.158364958013464
-3.282748983154827	-3.168328316969992	-6.500186536776148	-3.541355940546538
-2.856528211590757	-2.5368253816687028	-6.260315008810695	-4.173416939286252
-3.5489926671575467	-3.262403220577165	-3.7956048302851824	-2.3232126651923695
-4.407114087086494	-2.513567758704899	-1.0904287145017846	-2.9412318885880087
-3.768143938897899	-2.2184438834726126	0.28223042851911934	-3.0528704048663435
-3.7757334577975787	-3.064826933808749	-3.4253183326478447	-3.477768244743393
-3.1608659669496055	-2.783807156413275	-2.5040838457005123	-6.238571740941467
-2.089571256934446	-3.766233641683336	-3.394844025632395	-3.6424007039098365
-3.1776989519567524	-3.6736209658391767	-2.537064006617793	-5.560402477488037
-7.153885852250622	-3.944024751297284	-1.8584678064906022	-7.611344818951996
-4.19117510253808	-3.668193907279339	-3.1053738975166536	-0.8059797875763834
-2.4985353770079795	-3.1465555157169818	-2.7578850900167287	-3.928662377498324
-4.15054830818325	-3.580472326495007	-4.881154451381304	-3.6851851637021777
-3.42402940834874	-4.004688868209132	-3.0429852403542292	-2.255611536382425
-3.1803906698529376	-4.929276555149659	-4.276791309923177	-8.16543724341409
-3.5171930111193865	-5.309073985503662	-3.3903781576398346	-4.41916604630914
-3.675234549897371	-4.852863177977732	-5.164874033603735	-8.01826399423299
-2.714245066823993	-4.1017566594161	-5.12150911796648	-3.627365218485975
-6.332340867832769	-3.1624571363124234	-5.096445846495525	-5.036478526811037
-3.9030840215834877	-3.452989314492495	-2.743221197444812	-2.5904233245895454
-3.3492494084441007	-6.088206886644812	-2.7183057850024546	-2.996409276144122
-2.4347264920406766	-6.866689421783423	-3.491631389171951	-5.847769324936466
1.2376206173817186	-6.927165494937779	-3.9981015088625766	-3.123025392662417
-1.4668836325624135	-3.8235567099050987	-3.744013998669806	-5.570142192095737
-3.7151589876722775	-4.756828149622284	-2.299346157415158	-4.3732868823979665
	-5.254683144321959	-2.4837104643701453	-5.224980820877008
	-1.6963443151629358	-2.786477272330535	-3.1606169609354366
	-0.21884595075431676	-3.103537483883829	-4.9814501398215985
	-1.0987882420189232	-2.335688290710602	-3.994079801595064
	-1.5452681971566324	-5.303427799945017	-3.238398134501964
	-1.9484469201443708	-5.798238886194881	-4.326857539627483
	-1.9062911000561904	-3.1907192530713937	0.6174221787626079
