conditionA	skater_optimize_v0_5_DMSOrep1_database_sorted	skater_optimize_v0_5_DMSOrep2_database_sorted
F0F1T0C0J0_0J1_0	F0T0C0J0_0	F0T0F1T1C0J0_0J0_1J1_1	F0T0T1C0J0_0J0_1
-4.906658340402978	-5.175108672920781	0.8913173002024073	-4.795997548119826
-1.403511327535734	-5.57101121891974	-2.9927585627685933	-4.6134265246753134
-1.7300979064878605	-3.41790804618843	-6.736424011934863	-5.538711176222024
-1.9987425181068041	-3.7877011101110543	-2.5803101053193465	-4.927615911446535
0.5392982959111937	-3.6568510047734826	-4.857893498326656	-2.7524661682175324
-1.3477714349723924	-4.317937354251695	-3.287730695130097	-2.383499264010856
-2.48441590991928	-2.526352300240051	-6.3025569530857535	-2.3006580354393917
0.6017820774058183	-3.5798106131785348	-1.8971322816011171	-0.03874267004712995
-3.6611655558193856	-5.713860730082728	-3.6415812312759894	-2.0671127669041565
-5.438961135722073	-4.646440927929329	-2.6474945619098147	-2.8604990711856457
-5.834388648752649	-4.816459875766638	-3.4214318234017616	-4.890677422592069
-4.155023730290009	-3.7757413617578095	-3.027953818194641	-2.752553667621963
-1.8648197734248202	-3.4299988052687915	-4.179152639900097	-3.447700058338958
-2.746049448117843	-2.6832332792876565	-3.8059502768397127	-1.2800771076776696
-2.3214989569438025	-6.704279796210731	-5.330505840722488	-6.645131374239072
-3.0336286002300317	0.8171328624980299	-2.641693768624104	-0.8578048618320921
-1.0835095974765014	-2.972993198684097	-6.079565829497128	3.1713717797875103
-2.6713473302851223	-2.164408955977397	-2.7330084238167887	0.5827342214432425
-2.128124817517481	0.49816915505221404	-3.2996760572324386	-6.259410663443871
-2.701876636399087	-3.871424687230312	-2.330298319986092	-8.068139186634602
-2.3833731756075673	-2.959884695317493	-5.9216315090234195	-3.452024322179874
-3.6301616881601086	-4.917362367466853	-6.111634000039532	-3.5875770119941492
0.9545183212116154	-2.4707023657725014	-0.9905481949350508	-4.9247209494768445
-2.768036816750215	-2.4704728685600013	0.9490007101299162	-4.4178132200148665
-5.686053000465775	-3.1558599193332757	-4.364652359815134	-4.540444157552596
-1.1737260957793443	-3.542304436764953	-8.553441730506885	-4.990048642071806
0.264146655527903	-4.383613694070244	-8.135167926205082	-1.6935114271672602
-2.803781755435697	-4.06318848637215	-1.434777193590196	-1.3514388406683417
-4.237007994205546	-3.9701889674421365	0.426457995793112	0.576333474766752
-5.203268032552539	-6.08952766060235	0.564490848037637	1.8940450477707997
-5.5632940271343925	-4.3604603415910494	-3.3118300279593678	-1.278154905180345
-1.4804983525591862	-2.812997502234406	-2.5727499862355017	-3.2862830727007677
-0.9747401092354344	-2.8272308856130897	-3.0598503927835625	2.1564945081283837
