"","A1_Aligned.sortedByCoord.PEonly_marked","B1_Aligned.sortedByCoord.PEonly_marked","C1_Aligned.sortedByCoord.PEonly_marked","A4_Aligned.sortedByCoord.PEonly_marked","B4_Aligned.sortedByCoord.PEonly_marked","C4_Aligned.sortedByCoord.PEonly_marked"
"INTS31135",303,282,272,232,306,267
"JTB3276",1523,1638,1494,1568,1632,1416
"KRTCAP24313",1573,1239,1312,1198,1453,1280
"MSTO14547",18,25,9,14,12,15
"GPATCH45184",663,655,554,555,591,529
"DEDD5447",306,313,289,253,265,245
"AGPAT43291",23,32,26,17,27,21
"GAS52551",815,928,782,486,594,475
"GAS52549",0,0,0,0,0,0
"DDX415123",415,463,359,551,364,493
"DDX415126",310,352,279,385,292,378
"HNRNPH1498",729,1060,627,965,500,1063
"HNRNPH1499",62,61,101,21,39,40
"HNRNPH1502",3438,3405,3051,3372,3190,3263
"ORC23529",322,274,302,216,297,197
"CD552046",565,467,563,410,632,426
"CD463769",1021,1098,1042,955,1257,1008
"SMYD23237",349,386,316,376,451,361
"ABCB6505",403,446,411,386,410,414
"DNAJB23849",190,259,148,188,183,200
"GMPPA930",428,407,402,440,500,406
"CAPN23490",2124,2016,1712,2153,2256,1917
"MFF2560",1682,1354,1707,1231,1773,1216
"C1orf35572",230,217,170,223,182,296
"GUK11629",734,641,732,688,697,802
"HDLBP1939",2217,2339,1802,2206,1978,2421
"HDLBP1943",54,71,25,48,62,52
"ZNF6922245",164,230,202,162,161,206
